// General information: 
//  MT Manager version: 2020.3.0 
//  XDA version: 2020.3.0 build 5439 rev 106958 built on 2020-11-10
// Device information: 
//  DeviceId: 00B46A09
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
04938,2,0,-72.0000,9.521775,0.258517,-2.427155,-0.018047,-0.003029,0.016950,0.002916,-0.002470,0.002199,-0.406672,-0.517319,-0.632469,0.095218,0.002587,-0.024270,1.000000,0.000015,-0.000012,0.000011,0.999967,0.007873,0.000459,0.001733,0.902244,0.051005,0.199006,0.999994,0.003473,-0.000890,-0.003459,0.999870,0.015746,0.000945,-0.015743,0.999876
04939,2,0,-72.0000,9.486978,0.235377,-2.420503,-0.016331,0.018924,-0.018997,-0.000736,0.001867,-0.001686,-0.413234,-0.508663,-0.623002,0.094870,0.002353,-0.024206,1.000000,-0.000004,0.000009,-0.000008,0.999967,0.007876,0.000462,0.001696,0.902603,0.051403,0.194805,0.999994,0.003400,-0.000897,-0.003385,0.999870,0.015753,0.000951,-0.015750,0.999876
04940,2,0,-72.0000,9.502879,0.271259,-2.391630,0.009624,-0.021747,-0.009748,-0.000491,-0.001652,0.005233,-0.413589,-0.503936,-0.635756,0.095029,0.002715,-0.023916,1.000000,-0.000002,-0.000008,0.000026,0.999967,0.007914,0.000475,0.001670,0.907012,0.052858,0.191822,0.999994,0.003348,-0.000923,-0.003333,0.999869,0.015830,0.000975,-0.015827,0.999874
04941,2,0,-72.0000,9.536534,0.231237,-2.443124,-0.024786,0.025070,0.034473,-0.004525,0.000656,0.000718,-0.413947,-0.512996,-0.622822,0.095365,0.002312,-0.024432,1.000000,-0.000023,0.000003,0.000004,0.999967,0.007923,0.000480,0.001647,0.908025,0.053466,0.189199,0.999994,0.003302,-0.000933,-0.003287,0.999869,0.015847,0.000985,-0.015844,0.999874
04942,2,0,-72.0000,9.513788,0.240009,-2.441791,-0.030195,0.016194,0.012328,-0.001991,-0.003844,0.002287,-0.415887,-0.509867,-0.632656,0.095138,0.002401,-0.024416,1.000000,-0.000010,-0.000019,0.000011,0.999967,0.007947,0.000505,0.001617,0.910813,0.056450,0.185765,0.999994,0.003242,-0.000985,-0.003226,0.999868,0.015896,0.001037,-0.015893,0.999873
04943,2,0,-72.0000,9.509629,0.226059,-2.422262,-0.010078,0.026552,0.003152,-0.009050,0.001311,0.001437,-0.412444,-0.505339,-0.629246,0.095096,0.002260,-0.024223,1.000000,-0.000045,0.000007,0.000007,0.999967,0.007956,0.000506,0.001572,0.911821,0.056519,0.180540,0.999995,0.003151,-0.000986,-0.003135,0.999868,0.015914,0.001036,-0.015910,0.999873
04944,2,0,-72.0000,9.517574,0.244152,-2.407837,0.002986,0.006090,0.007774,-0.010877,-0.001982,0.001979,-0.409144,-0.518114,-0.631592,0.095176,0.002441,-0.024078,1.000000,-0.000054,-0.000010,0.000010,0.999967,0.007967,0.000523,0.001499,0.913014,0.058558,0.172241,0.999995,0.003006,-0.001022,-0.002989,0.999869,0.015934,0.001070,-0.015931,0.999873
04945,2,0,-72.0000,9.513744,0.240171,-2.441946,-0.029678,0.015413,0.012331,-0.010331,0.000599,0.000865,-0.423761,-0.515426,-0.636708,0.095137,0.002401,-0.024420,1.000000,-0.000052,0.000003,0.000004,0.999967,0.007971,0.000529,0.001428,0.913470,0.059351,0.164121,0.999995,0.002864,-0.001036,-0.002848,0.999869,0.015942,0.001081,-0.015939,0.999872
04946,2,0,-72.0000,9.497570,0.194704,-2.416929,-0.002455,0.056646,-0.010643,-0.008559,0.002964,-0.003796,-0.409531,-0.521565,-0.632753,0.094975,0.001944,-0.024171,1.000000,-0.000043,0.000015,-0.000019,0.999967,0.007952,0.000527,0.001375,0.911368,0.059115,0.157989,0.999996,0.002757,-0.001032,-0.002741,0.999870,0.015906,0.001075,-0.015903,0.999873
04947,2,0,-72.0000,9.544468,0.250014,-2.428672,-0.010862,0.003289,0.039099,-0.003626,-0.000661,0.000659,-0.411662,-0.512292,-0.638510,0.095445,0.002500,-0.024286,1.000000,-0.000018,-0.000003,0.000003,0.999967,0.007966,0.000538,0.001351,0.912938,0.060428,0.155342,0.999996,0.002711,-0.001055,-0.002694,0.999869,0.015933,0.001098,-0.015930,0.999873
